129,SAKSHI SAREES,"P 4815, MILLENNIUM -1",24ATFPG4200N1ZY,
130,HITESH TEXTILES,"141 TO 147, BASEMENT ASHOKA TOWER",24ACCPK5130H1Z2,
131,SAIRAJ TEXTILES,B-25 SHREE SAI DARSHAN MARKET,24BDEPD6450P1ZE,
132,JAY AMBE TEXTILES,"753, MILLENNIUM -2",,
133,PRIYA CREATION,"4061, AMBAJI MARKET",,
134,KISHAN KANHAIYA FASHION,"F-4766, 2nd FLOOR, LIFT NO.17, RAGHUKUL TEXTILE MARKET",24AAGHA2474J1ZF,
135,AMBAJI SAREES,"E-117, NEW T.T TOWER",,
136,SHREE SYNTHETICS,"T - 7049, RKTM",,
137,MAJISAA FAB ,"1325, GLOBAL TEXTILE MARKET",,
138,AADINATH TEXTILES,"1542, RKTM",24ASHPJ3147N2ZI,
139,MEENA TEX,"535, HARI OM MARKET",24ABGFM0607A1Z1,
140,SB CREATION,"607, RAGHUVEER TEXTILE MALL",24AHTPB9222H1ZB,
141,VED FASHION,"A2-2005, REGENT MARKET",,
142,NIKHIL TEXTILE,"1367, NTM ",24AJVPK6063D1Z2,
143,SHIV TEXTILE,"65, ABHISHEK MARKET",24IBIPS7720C2ZJ,
144,BABA SAI SILK MILLS,"3018, ABHISHEK MARKET",24ACMPS5531IZ4,
145,U P SILK MILLS PVT LTD,"2105, 2nd FLOOR MILLENNIUM-4",24AABCU1548D1ZQ,
146,VINOD IMPEX,"365, KOHINOOR TEXTILE MARKET",24ATNPK1441M3ZH,
147,NIKUNJ FASHION,"365, KOHINOOR TEXTILE MARKET",24AFJPK0351C1Z2,
148,PARV CREATION,"3021, SHREE SAI KRUPA MARKET",,
149,PADAMNATH FASHION,"3142 TO 3143, VANKAR TEXTILE MARKET",24AFPPJ7770N1ZP,
150,BALAJI FABRICS,"A-1025, RADHA KRISHNA LOGISTIC, SAROLI",24AAICB3668E1ZR,
151,RAMLALLA FASHION,"3035, MILLENNIUM-4",24ABDFR2930C1ZP,
152,S.B TEXTILES,"A-2012, ABHISHEK MARKET",,
